OSHA标准编号,条款编号,片段编号,来源类型,来源网址,获取日期
1910.132,1910.132,chunk_00001,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(a),chunk_00002,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(b),chunk_00003,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(c),chunk_00004,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(d),chunk_00005,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(d)(1),chunk_00006,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(d)(1)(i),chunk_00007,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(d)(1)(ii),chunk_00008,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(d)(1)(iii),chunk_00009,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(d)(2),chunk_00010,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(e),chunk_00011,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f),chunk_00012,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(1),chunk_00013,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(1)(i),chunk_00014,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(1)(ii),chunk_00015,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(1)(iii),chunk_00016,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(1)(iv),chunk_00017,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(1)(v),chunk_00018,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(2),chunk_00019,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(3),chunk_00020,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(3)(i),chunk_00021,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(3)(ii),chunk_00022,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(f)(3)(iii),chunk_00023,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(g),chunk_00024,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h),chunk_00025,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h)(1),chunk_00026,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h)(2),chunk_00027,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h)(3),chunk_00028,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h)(4),chunk_00029,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h)(4)(i),chunk_00030,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h)(4)(ii),chunk_00031,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h)(4)(iii),chunk_00032,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h)(5),chunk_00033,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h)(6),chunk_00034,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.132,1910.132(h)(7),chunk_00035,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.132,2026-08-19
1910.133,1910.133,chunk_00036,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(a),chunk_00037,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(a)(1),chunk_00038,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(a)(2),chunk_00039,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(a)(3),chunk_00040,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(a)(4),chunk_00041,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(a)(5),chunk_00042,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(b),chunk_00043,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(b)(1),chunk_00044,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(b)(1)(i),chunk_00045,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(b)(1)(ii),chunk_00046,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(b)(1)(iii),chunk_00047,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.133,1910.133(b)(2),chunk_00048,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.133,2026-08-19
1910.134,1910.134,chunk_00049,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(a),chunk_00050,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(a)(1),chunk_00051,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(a)(2),chunk_00052,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(b),chunk_00053,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c),chunk_00054,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(1),chunk_00055,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(1)(i),chunk_00056,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(1)(ii),chunk_00057,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(1)(iii),chunk_00058,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(1)(iv),chunk_00059,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(1)(v),chunk_00060,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(1)(vi),chunk_00061,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(1)(vii),chunk_00062,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(1)(viii),chunk_00063,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(1)(ix),chunk_00064,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(2),chunk_00065,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(2)(i),chunk_00066,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(2)(ii),chunk_00067,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(3),chunk_00068,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(c)(4),chunk_00069,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(d),chunk_00070,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(d)(1),chunk_00071,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(d)(1)(i),chunk_00072,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(d)(1)(ii),chunk_00073,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(d)(1)(iii),chunk_00074,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
1910.134,1910.134(d)(1)(iv),chunk_00075,法规正文,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.134,2026-08-19
